GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
saltynote-service,com.saltynote.service.event,EmailEvent.Type.new EmailEvent.Type() {...},2,15,0,0,1,3,1,2,1,2
saltynote-service,com.saltynote.service.event,EmailEvent,0,16,0,0,0,6,0,3,0,3
saltynote-service,com.saltynote.service.event,EmailEvent.Type.new EmailEvent.Type() {...},0,17,0,0,0,4,0,3,0,3
saltynote-service,com.saltynote.service.event,EmailEventListener,11,67,1,3,1,18,1,4,0,3
saltynote-service,com.saltynote.service.event,EmailEvent.Type,3,53,0,0,1,14,1,4,1,4
saltynote-service,com.saltynote.service.domain.transfer,Payload,65,16,14,0,0,4,11,4,4,4
saltynote-service,com.saltynote.service.domain.transfer,TokenPair,0,26,0,0,0,5,0,6,0,6
saltynote-service,com.saltynote.service.domain.transfer,NoteQuery,75,0,14,0,2,0,14,0,7,0
saltynote-service,com.saltynote.service.domain.transfer,PasswordReset,107,17,22,0,1,4,16,5,5,5
saltynote-service,com.saltynote.service.domain.transfer,UserNewRequest,72,11,16,0,1,2,12,3,4,3
saltynote-service,com.saltynote.service.domain.transfer,UserCredential,131,44,30,0,0,7,19,8,4,8
saltynote-service,com.saltynote.service.domain.transfer,ServiceResponse,98,32,22,0,0,6,15,7,4,7
saltynote-service,com.saltynote.service.domain.transfer,JwtUser,92,32,22,0,0,5,14,7,3,7
saltynote-service,com.saltynote.service.domain.transfer,PasswordUpdate,107,19,22,0,1,4,16,5,5,5
saltynote-service,com.saltynote.service.domain.transfer,NoteDto,263,59,62,0,0,8,35,15,4,15
saltynote-service,com.saltynote.service.entity,LoginHistory,25,25,0,0,5,4,7,5,7,5
saltynote-service,com.saltynote.service.entity,Vault,105,47,16,0,12,8,14,11,6,11
saltynote-service,com.saltynote.service.entity,Note,111,96,20,2,10,17,14,20,3,20
saltynote-service,com.saltynote.service.entity,SiteUser,78,42,12,0,10,8,11,10,5,10
saltynote-service,com.saltynote.service.domain.converter,NoteConverterImpl,105,46,11,1,26,11,9,2,3,2
saltynote-service,com.saltynote.service.service,UserDetailsServiceImpl,5,18,1,1,1,4,1,2,0,2
saltynote-service,com.saltynote.service.service,NoteService,15,62,2,2,2,14,3,8,1,8
saltynote-service,com.saltynote.service.service,RepositoryService,16,22,4,6,1,5,4,3,0,2
saltynote-service,com.saltynote.service.service,EmailService,62,18,0,0,18,5,2,1,2,1
saltynote-service,com.saltynote.service.service,JwtService,54,118,9,9,1,22,10,10,1,10
saltynote-service,com.saltynote.service.service,UserService,15,91,1,1,4,17,3,8,2,8
saltynote-service,com.saltynote.service.service,VaultService,77,236,6,8,20,39,10,22,5,20
saltynote-service,com.saltynote.service.filter,GlobalFilter,15,30,3,3,0,9,3,4,0,4
saltynote-service,com.saltynote.service.boot,CleanCache,0,31,1,1,0,9,1,4,0,4
saltynote-service,com.saltynote.service.boot,Starter,18,0,0,0,6,0,3,0,3,0
saltynote-service,com.saltynote.service.generator,SnowflakeIdGenerator,46,71,10,6,10,15,9,3,1,3
saltynote-service,com.saltynote.service.security,JWTAuthorizationFilter,4,61,3,5,2,16,3,4,0,3
saltynote-service,com.saltynote.service.security,SecurityConfig,0,24,0,0,0,6,0,3,0,3
saltynote-service,com.saltynote.service.security,SecurityConstants,7,0,0,0,2,0,1,0,1,0
saltynote-service,com.saltynote.service.security,JWTAuthenticationService,0,62,0,0,0,10,0,3,0,3
saltynote-service,com.saltynote.service.security,WebSecurity,0,182,0,0,0,37,0,7,0,7
saltynote-service,com.saltynote.service.aop,ControllerMonitor,1,32,0,0,1,8,1,3,1,3
saltynote-service,com.saltynote.service.configure,ServiceConfig,0,13,0,0,0,2,0,2,0,2
saltynote-service,com.saltynote.service.configure,SpringDocConfig,0,93,0,0,0,12,0,5,0,5
saltynote-service,com.saltynote.service,ServiceApplication,5,9,0,0,2,2,1,2,1,2
saltynote-service,com.saltynote.service.utils,BaseUtils,20,33,4,6,7,8,6,5,3,3
saltynote-service,com.saltynote.service.controller,NoteController,32,195,10,16,5,41,13,12,3,9
saltynote-service,com.saltynote.service.controller,UserController,95,310,13,15,18,54,14,11,1,10
saltynote-service,com.saltynote.service.controller,HomeController,0,8,0,0,0,2,0,2,0,2
saltynote-service,com.saltynote.service.domain,EmailPayload,154,45,38,0,0,5,22,10,3,10
saltynote-service,com.saltynote.service.domain,LoginUser,44,15,8,0,9,4,6,2,2,2
saltynote-service,com.saltynote.service.domain,VaultType,0,35,0,0,0,6,0,3,0,3
saltynote-service,com.saltynote.service.domain,VaultEntity,56,71,15,7,0,4,13,8,2,8
saltynote-service,com.saltynote.service.controller.advice,ExceptionHandlerControllerAdvice,0,55,0,0,0,11,0,6,0,6
saltynote-service,com.saltynote.service.exception,ClockBackwardException,4,0,0,0,2,0,1,0,1,0
saltynote-service,com.saltynote.service.exception,WebAppRuntimeException,0,10,0,0,0,4,0,2,0,2
saltynote-service,com.saltynote.service.exception,IllegalInitialException,4,0,0,0,2,0,1,0,1,0
